"id";"parent";"level";"type";"name";"part";"v_total";"v_eu";"v_nation";"v_proc_eu";"v_proc_nation";
"12-1-1-1";"12-1-1";"e";"Administer";"Ministry of the Environment";"41";23549;6010;17539;"25.52";"74.48";
"12-1-2";"12-1";"d";"Subtask 12.1.2";"Environmental and landscape protection, including national parks";;216682;93849;122833;"43.31";"56.69";
"12-1-2-1";"12-1-2";"e";"Administer";"Ministry of the Environment";"41";195867;93849;102018;"47.91";"52.09";
"12-1-2-2";"12-1-2";"e";"Administer";"Voivodes";"85";20815;0;20815;"0.0";"100.0";
"12-1-3";"12-1";"d";"Subtask 12.1.3";"Protection and sustainable development of forests and development of forest resources";;5959;0;5959;"0.0";"100.0";
"12-1-3-1";"12-1-3";"e";"Administer";"Ministry of the Environment";"41";5883;0;5883;"0.0";"100.0";
"12-1-3-2";"12-1-3";"e";"Administer";"Voivodes";"85";76;0;76;"0.0";"100.0";
"12-1-4";"12-1";"d";"Subtask 12.1.4";"Protection of soil functions and soil reclamation";;2062;0;2062;"0.0";"100.0";
"12-1-4-1";"12-1-4";"e";"Administer";"Ministry of the Environment";"41";2062;0;2062;"0.0";"100.0";
"12-1-5";"12-1";"d";"Subtask 12.1.5";"Protection of game and management of game resources";;1800;0;1800;"0.0";"100.0";
"12-1-5-1";"12-1-5";"e";"Administer";"Ministry of the Environment";"41";161;0;161;"0.0";"100.0";
"12-1-5-2";"12-1-5";"e";"Administer";"Voivodes";"85";1639;0;1639;"0.0";"100.0";
"12-1-6";"12-1";"d";"Subtask 12.1.6";"Restoration of environmental values to degenerated areas";;9858;9858;0;"100.0";"0.0";
"12-1-6-1";"12-1-6";"e";"Administer";"Ministry of the Environment";"41";9858;9858;0;"100.0";"0.0";
"12-2";"12";"c";"Task 12.2";"Forming of the air quality and preventing climatic change";;4380;0;4380;"0.0";"100.0";
"12-2-1";"12-2";"d";"Subtask 12.2.1";"Protection against air pollution and activities with respect to trade in emissions of pollutants other than greenhouse gases";;483;0;483;"0.0";"100.0";
"12-2-1-1";"12-2-1";"e";"Administer";"Ministry of the Environment";"41";483;0;483;"0.0";"100.0";
"12-2-2";"12-2";"d";"Subtask 12.2.2";"Reduction of the greenhouse gases emission and activities with respect to trade in the CO2 emissions and the energy-climate package";;724;0;724;"0.0";"100.0";
"12-2-2-1";"12-2-2";"e";"Administer";"Ministry of the Environment";"41";724;0;724;"0.0";"100.0";
"12-2-3";"12-2";"d";"Subtask 12.2.3";"Protection of climate, protection of ozone layer and trans-border pollution movements";;881;0;881;"0.0";"100.0";
