"id";"parent";"level";"type";"name";"part";"v_total";"v_eu";"v_nation";"v_proc_eu";"v_proc_nation";
"total";;"a";"Total";"Total";;397504708;84004046;313500662;"21.13";"78.87";
"1";;"b";"Function 1";"STATE MANAGEMENT";;1561521;25140;1536381;"1.61";"98.39";
"1-1";"1";"c";"Task 1.1";"Substantive and formal-office support for the President of the Republic of Poland";;151833;0;151833;"0.0";"100.0";
"1-1-1";"1-1";"d";"Subtask 1.1.1";"Support and coordination of the President's office";;130148;0;130148;"0.0";"100.0";
"1-1-1-1";"1-1-1";"e";"Administer";"The Chancellery of the President of the Republic of Poland";"01";130148;0;130148;"0.0";"100.0";
"1-1-2";"1-1";"d";"Subtask 1.1.2";"Legal support for the office of the President of the Republic of Poland";;4960;0;4960;"0.0";"100.0";
"1-1-2-1";"1-1-2";"e";"Administer";"The Chancellery of the President of the Republic of Poland";"01";4960;0;4960;"0.0";"100.0";
"1-1-3";"1-1";"d";"Subtask 1.1.3";"Substantive support for the National Security Bureau";;16725;0;16725;"0.0";"100.0";
"1-1-3-1";"1-1-3";"e";"Administer";"The Chancellery of the President of the Republic of Poland";"01";16725;0;16725;"0.0";"100.0";
"1-2";"1";"c";"Task 1.2";"Substantive and organisational support for the Parliament and its bodies ";;445085;0;445085;"0.0";"100.0";
"1-2-1";"1-2";"d";"Subtask 1.2.1";"Substantive support for PMs";;62815;0;62815;"0.0";"100.0";
"1-2-1-1";"1-2-1";"e";"Administer";"The Chancellery of the Sejm (lower chamber of the Polish parliament)";"02";50426;0;50426;"0.0";"100.0";
"1-2-1-2";"1-2-1";"e";"Administer";"The Chancellery of the Senate";"03";12389;0;12389;"0.0";"100.0";
"1-2-2";"1-2";"d";"Subtask 1.2.2";"Ensuring conditions for performance of an MP's mandate";;382270;0;382270;"0.0";"100.0";
"1-2-2-1";"1-2-2";"e";"Administer";"The Chancellery of the Sejm (lower chamber of the Polish parliament)";"02";329750;0;329750;"0.0";"100.0";
"1-2-2-2";"1-2-2";"e";"Administer";"The Chancellery of the Senate";"03";52520;0;52520;"0.0";"100.0";
"1-3";"1";"c";"Task 1.3";"Substantive and formal-office support for the President of the Council of Ministers and the Council of Ministers";;128922;24186;104736;"18.76";"81.24";
"1-3-1";"1-3";"d";"Subtask 1.3.1";"Support and coordination of government works";;63232;0;63232;"0.0";"100.0";
"1-3-1-1";"1-3-1";"e";"Administer";"The Chancellery of the Prime Minister";"16";63232;0;63232;"0.0";"100.0";
"1-3-2";"1-3";"d";"Subtask 1.3.2";"Legal support for the Council of Ministers";;20108;296;19812;"1.47";"98.53";
"1-3-2-1";"1-3-2";"e";"Administer";"Government Legislation Centre";"75";20108;296;19812;"1.47";"98.53";
"1-3-3";"1-3";"d";"Subtask 1.3.3";"Managing the civil service corps and improvement of the quality of work at the government administration bodies";;40592;23832;16760;"58.71";"41.29";
"1-3-3-1";"1-3-3";"e";"Administer";"The Chancellery of the Prime Minister";"16";40592;23832;16760;"58.71";"41.29";
"1-3-4";"1-3";"d";"Subtask 1.3.4";"Editing and making available of the Journal of Laws of the Republic of Poland (Dziennik Ustaw) and the “Monitor Polski” Official Gazette of the Republic of Poland";;4990;58;4932;"1.16";"98.84";
"1-3-4-1";"1-3-4";"e";"Administer";"Government Legislation Centre";"75";4990;58;4932;"1.16";"98.84";
"1-4";"1";"c";"Task 1.4";"Substantive and organisational support of the Constitutional Tribunal";;22598;0;22598;"0.0";"100.0";
"1-4-1";"1-4";"d";"Subtask 1.4.1";"Judicial activity Trybunału Konstytucyjnego";;7630;0;7630;"0.0";"100.0";
"1-4-1-1";"1-4-1";"e";"Administer";"Constitutional Tribunal";"06";7630;0;7630;"0.0";"100.0";
"1-4-2";"1-4";"d";"Subtask 1.4.2";"Support and coordination of the Constitutional Tribunal’s works";;14968;0;14968;"0.0";"100.0";
"1-4-2-1";"1-4-2";"e";"Administer";"Constitutional Tribunal";"06";14968;0;14968;"0.0";"100.0";
"1-5";"1";"c";"Task 1.5";"Organisation and execution of election";;228333;0;228333;"0.0";"100.0";
"1-5-1";"1-5";"d";"Subtask 1.5.1";"Presidential elections";;0;0;0;0;0;
"1-5-1-1";"1-5-1";"e";"Administer";"National Electoral Office (Krajowe Biuro Wyborcze)";"11";0;0;0;0;0;
"1-5-2";"1-5";"d";"Subtask 1.5.2";"Parliamentary elections";;0;0;0;0;0;
"1-5-2-1";"1-5-2";"e";"Administer";"National Electoral Office (Krajowe Biuro Wyborcze)";"11";0;0;0;0;0;
"1-5-4";"1-5";"d";"Subtask 1.5.4";"Elections to the commune councils, district councils, voivodeship assemblies, elections of commune heads, mayors and presidents of cities, communal, district and voivodeship referenda";;121;0;121;"0.0";"100.0";
"1-5-4-1";"1-5-4";"e";"Administer";"National Electoral Office (Krajowe Biuro Wyborcze)";"11";0;0;0;0;0;
"1-5-4-2";"1-5-4";"e";"Administer";"Voivodes";"85";121;0;121;"0.0";"100.0";
"1-5-5";"1-5";"d";"Subtask 1.5.5";"National and constitutional referenda, including substantive, financial, technical and organisational support for the National Electoral Commission and Electoral Commissioners";;0;0;0;0;0;
"1-5-5-1";"1-5-5";"e";"Administer";"National Electoral Office (Krajowe Biuro Wyborcze)";"11";0;0;0;0;0;
"1-5-6";"1-5";"d";"Subtask 1.5.6";"Financing political parties";;228212;0;228212;"0.0";"100.0";
"1-5-6-1";"1-5-6";"e";"Administer";"Ministry of Finance";"19";228212;0;228212;"0.0";"100.0";
"1-6";"1";"c";"Task 1.6";"Supervision of the public procurement system";;12903;454;12449;"3.52";"96.48";
"1-6-1";"1-6";"d";"Subtask 1.6.1";"Supervision over compliance with the public procurement rules, especially by virtue of auditing the contract awarding processes in the scope stipulated by the act";;6844;454;6390;"6.63";"93.37";
"1-6-1-1";"1-6-1";"e";"Administer";"Public Procurement Office";"49";6844;454;6390;"6.63";"93.37";
"1-6-2";"1-6";"d";"Subtask 1.6.2";"Appeal system";;6059;0;6059;"0.0";"100.0";
"1-6-2-1";"1-6-2";"e";"Administer";"Public Procurement Office";"49";6059;0;6059;"0.0";"100.0";
"1-7";"1";"c";"Task 1.7";"Assessment of operation of the public administration bodies, the National Bank of Poland and organisational units spending public funds from the perspective of statutory criteria of the Supreme Audit Office";;275124;0;275124;"0.0";"100.0";
"1-7-1";"1-7";"d";"Subtask 1.7.1";"Preparation and performance of audits and making their results publicly available";;232860;0;232860;"0.0";"100.0";
"1-7-1-1";"1-7-1";"e";"Administer";"Supreme Audit Office";"07";232860;0;232860;"0.0";"100.0";
"1-7-2";"1-7";"d";"Subtask 1.7.2";"Preparation of analysis from execution of the state budget and the monetary policy assumptions, as well as other sectoral studies";;3013;0;3013;"0.0";"100.0";
"1-7-2-1";"1-7-2";"e";"Administer";"Supreme Audit Office";"07";3013;0;3013;"0.0";"100.0";
"1-7-3";"1-7";"d";"Subtask 1.7.3";"Performance of non-control functions of the supreme state audit body";;17587;0;17587;"0.0";"100.0";
"1-7-3-1";"1-7-3";"e";"Administer";"Supreme Audit Office";"07";17587;0;17587;"0.0";"100.0";
"1-7-4";"1-7";"d";"Subtask 1.7.4";"Human capital management";;21664;0;21664;"0.0";"100.0";
"1-7-4-1";"1-7-4";"e";"Administer";"Supreme Audit Office";"07";21664;0;21664;"0.0";"100.0";
"1-8";"1";"c";"Task 1.8";"Protection of the freedom of speech, right to information and public interest in radio and television";;9993;0;9993;"0.0";"100.0";
"1-8-1";"1-8";"d";"Subtask 1.8.1";"Licenses for dissemination of radio and television broadcasts and registration of programmes distributed in cable networks";;3290;0;3290;"0.0";"100.0";
"1-8-1-1";"1-8-1";"e";"Administer";"National Broadcasting Council";"09";3290;0;3290;"0.0";"100.0";
"1-8-2";"1-8";"d";"Subtask 1.8.2";"Control of radio and television broadcasts and organising examination of content and reception of such broadcasts";;4660;0;4660;"0.0";"100.0";
"1-8-2-1";"1-8-2";"e";"Administer";"National Broadcasting Council";"09";4660;0;4660;"0.0";"100.0";
"1-8-3";"1-8";"d";"Subtask 1.8.3";"National Broadcasting Council’s operation with respect to subscription fees";;2043;0;2043;"0.0";"100.0";
"1-8-3-1";"1-8-3";"e";"Administer";"National Broadcasting Council";"09";2043;0;2043;"0.0";"100.0";
"1-9";"1";"c";"Task 1.9";"Collecting and managing documents of state security services and security services of the Third Reich and the Union of Soviet Socialist Republics prepared from 1 September 1939 to 31 July 1990, investigations concerning Nazi and communist crimes, other crimes against humanity, lustration activity";;182556;0;182556;"0.0";"100.0";
"1-9-1";"1-9";"d";"Subtask 1.9.1";"Disclosure of documents and information collected in the archives of the Institute of National Remembrance";;124046;0;124046;"0.0";"100.0";
"1-9-1-1";"1-9-1";"e";"Administer";"The Institute of National Remembrance – Commission for the Persecution of Crimes against the Polish Nation";"13";124046;0;124046;"0.0";"100.0";
"1-9-2";"1-9";"d";"Subtask 1.9.2";"Conducting investigations on Nazi, communist crimes and crimes against humanity and other";;30621;0;30621;"0.0";"100.0";
"1-9-2-1";"1-9-2";"e";"Administer";"The Institute of National Remembrance – Commission for the Persecution of Crimes against the Polish Nation";"13";30621;0;30621;"0.0";"100.0";
"1-9-3";"1-9";"d";"Subtask 1.9.3";"Preparation and publication of information concerning officers of state security bodies, persons under surveillance, state and party officers in the period 1944 – 1990 and public persons according to Article 22 of the so-called lustration act of 2006, keeping of a register of lustration statements and its analysis, preparation of lustration proceedings";;27889;0;27889;"0.0";"100.0";
"1-9-3-1";"1-9-3";"e";"Administer";"The Institute of National Remembrance – Commission for the Persecution of Crimes against the Polish Nation";"13";27889;0;27889;"0.0";"100.0";
"1-10";"1";"c";"Task 1.10";"Assessment of financial management of the local government units from the perspective of statutory criteria";;103251;500;102751;"0.48";"99.52";
"1-10-1";"1-10";"d";"Subtask 1.10.1";"Preparation and performance of audits and making their results publicly available";;46359;205;46154;"0.44";"99.56";
"1-10-1-1";"1-10-1";"e";"Administer";"Ministry of the Interior and Administration";"80";46359;205;46154;"0.44";"99.56";
"1-10-2";"1-10";"d";"Subtask 1.10.2";"Supervision over local government units and issuing opinions";;56892;295;56597;"0.52";"99.48";
"1-10-2-1";"1-10-2";"e";"Administer";"Ministry of the Interior and Administration";"80";56892;295;56597;"0.52";"99.48";
"1-11";"1";"c";"Task 1.11";"Informatization of operations and building information society";;923;0;923;"0.0";"100.0";
"1-11-1";"1-11";"d";"Subtask 1.11.1";"Maintenance of IT systems";;923;0;923;"0.0";"100.0";
"1-11-1-1";"1-11-1";"e";"Administer";"Public Procurement Office";"49";923;0;923;"0.0";"100.0";
"2";;"b";"Function 2";"INTERNAL SECURITY AND PUBLIC ORDER";;14170616;58779;14111837;"0.41";"99.59";
"2-1";"2";"c";"Task 2.1";"Protection of citizens and maintenance of public order";;5795284;37059;5758225;"0.64";"99.36";
"2-1-1";"2-1";"d";"Subtask 2.1.1";"Ensuring internal security of the state";;529669;0;529669;"0.0";"100.0";
"2-1-1-1";"2-1-1";"e";"Administer";"Ministry of the Interior and Administration";"42";31975;0;31975;"0.0";"100.0";
"2-1-1-2";"2-1-1";"e";"Administer";"The Internal Security Agency";"57";497682;0;497682;"0.0";"100.0";
"2-1-1-3";"2-1-1";"e";"Administer";"Voivodes";"85";12;0;12;"0.0";"100.0";
"2-1-2";"2-1";"d";"Subtask 2.1.2";"Ensuring safety of the most important persons, structures and equipment in the country";;177382;0;177382;"0.0";"100.0";
"2-1-2-1";"2-1-2";"e";"Administer";"Ministry of the Interior and Administration";"42";177382;0;177382;"0.0";"100.0";
"2-1-3";"2-1";"d";"Subtask 2.1.3";"Ensuring operation of prevention services";;4309904;31751;4278153;"0.74";"99.26";
"2-1-3-1";"2-1-3";"e";"Administer";"Ministry of the Interior and Administration";"42";4309904;31751;4278153;"0.74";"99.26";
"2-1-4";"2-1";"d";"Subtask 2.1.4";"Ensuring operation of road traffic services";;723296;5308;717988;"0.73";"99.27";
"2-1-4-1";"2-1-4";"e";"Administer";"Ministry of the Interior and Administration";"42";723296;5308;717988;"0.73";"99.27";
"2-1-5";"2-1";"d";"Subtask 2.1.5";"Issuing of permits, licenses, entries to the register of regulated activity and own control of licensed, regulated  activity and legality of acquisition of real properties, stocks and shares by foreigners";;3705;0;3705;"0.0";"100.0";
"2-1-5-1";"2-1-5";"e";"Administer";"Ministry of the Interior and Administration";"42";3705;0;3705;"0.0";"100.0";
"2-1-6";"2-1";"d";"Subtask 2.1.6";"Performance of tasks with respect to fine procedures concerning misdemeanours";;792;0;792;"0.0";"100.0";
"2-1-6-1";"2-1-6";"e";"Administer";"Ministry of the Interior and Administration";"42";792;0;792;"0.0";"100.0";
"2-1-7";"2-1";"d";"Subtask 2.1.7";"Multi-year programme “Modernisation programme for Police, Border Guard, State Fire Service, Government Protection Bureau in the period 2007 – 2011”";;50536;0;50536;"0.0";"100.0";
"2-1-7-1";"2-1-7";"e";"Administer";"Ministry of the Interior and Administration";"42";50536;0;50536;"0.0";"100.0";
"2-2";"2";"c";"Task 2.2";"Crime reduction and activities aiming at improvement of the social feeling of security";;3084993;21650;3063343;"0.7";"99.3";
"2-2-1";"2-2";"d";"Subtask 2.2.1";"Ensuring operation of investigation and crime section services";;2946403;21650;2924753;"0.73";"99.27";
"2-2-1-1";"2-2-1";"e";"Administer";"Ministry of the Interior and Administration";"42";2946403;21650;2924753;"0.73";"99.27";
"2-2-2";"2-2";"d";"Subtask 2.2.2";"Combating corruption";;106971;0;106971;"0.0";"100.0";
"2-2-2-1";"2-2-2";"e";"Administer";"Central Anticorruption Bureau";"56";106971;0;106971;"0.0";"100.0";
"2-2-3";"2-2";"d";"Subtask 2.2.3";"Preventing crime and asocial behaviours and anti-violence and anti-social pathology measures";;4033;0;4033;"0.0";"100.0";
"2-2-3-1";"2-2-3";"e";"Administer";"Ministry of the Interior and Administration";"42";3072;0;3072;"0.0";"100.0";
"2-2-3-2";"2-2-3";"e";"Administer";"Voivodes";"85";961;0;961;"0.0";"100.0";
"2-2-4";"2-2";"d";"Subtask 2.2.4";"Support and protection for victims of human trafficking ";;1260;0;1260;"0.0";"100.0";
"2-2-4-1";"2-2-4";"e";"Administer";"Ministry of the Interior and Administration";"42";1260;0;1260;"0.0";"100.0";
"2-2-6";"2-2";"d";"Subtask 2.2.6";"Multi-year programme “Modernisation programme for Police, Border Guard, State Fire Service, Government Protection Bureau in the period 2007 – 2011”";;26326;0;26326;"0.0";"100.0";
"2-2-6-1";"2-2-6";"e";"Administer";"Ministry of the Interior and Administration";"42";26326;0;26326;"0.0";"100.0";
"2-3";"2";"c";"Task 2.3";"Protection of law and order and watching the persecution of offences by the prosecution";;1585535;0;1585535;"0.0";"100.0";
"2-3-1";"2-3";"d";"Subtask 2.3.1";"Preparation of preparatory and procedural proceedings";;1468483;0;1468483;"0.0";"100.0";
"2-3-1-1";"2-3-1";"e";"Administer";"Ministry of National Defence";"29";39276;0;39276;"0.0";"100.0";
"2-3-1-2";"2-3-1";"e";"Administer";"Ministry of Justice";"37";0;0;0;0;0;
"2-3-1-3";"2-3-1";"e";"Administer";"General Public Prosecutor’s Office";"88";1429207;0;1429207;"0.0";"100.0";
"2-3-2";"2-3";"d";"Subtask 2.3.2";"Combating organised crime";;39380;0;39380;"0.0";"100.0";
"2-3-2-1";"2-3-2";"e";"Administer";"General Public Prosecutor’s Office";"88";39380;0;39380;"0.0";"100.0";
"2-3-3";"2-3";"d";"Subtask 2.3.3";"Performance  of the General Public Prosecution tasks in proceedings before the Supreme Court, Constitutional Tribunal, Supreme Administrative Court and other proceedings stipulated by the law";;77672;0;77672;"0.0";"100.0";
"2-3-3-1";"2-3-3";"e";"Administer";"Ministry of Justice";"37";0;0;0;0;0;
"2-3-3-2";"2-3-3";"e";"Administer";"General Public Prosecutor’s Office";"88";77672;0;77672;"0.0";"100.0";
"2-4";"2";"c";"Task 2.4";"Anti-fire protection, rescue and fire extinguishing and prevention activities";;2168901;70;2168831;"0.0";"100.0";
"2-4-1";"2-4";"d";"Subtask 2.4.1";"Rescue and fire-fighting activities";;2090993;0;2090993;"0.0";"100.0";
"2-4-1-1";"2-4-1";"e";"Administer";"Ministry of the Interior and Administration";"42";143111;0;143111;"0.0";"100.0";
"2-4-1-2";"2-4-1";"e";"Administer";"Voivodes";"85";1947882;0;1947882;"0.0";"100.0";
"2-4-2";"2-4";"d";"Subtask 2.4.2";"Operation of the mountain and water rescue forces";;12454;0;12454;"0.0";"100.0";
"2-4-2-1";"2-4-2";"e";"Administer";"Ministry of the Interior and Administration";"42";12454;0;12454;"0.0";"100.0";
"2-4-3";"2-4";"d";"Subtask 2.4.3";"Recognition of threats";;65310;70;65240;"0.11";"99.89";
"2-4-3-1";"2-4-3";"e";"Administer";"Ministry of the Interior and Administration";"42";1271;70;1201;"5.51";"94.49";
"2-4-3-2";"2-4-3";"e";"Administer";"Voivodes";"85";64039;0;64039;"0.0";"100.0";
"2-4-4";"2-4";"d";"Subtask 2.4.4";"Multi-year programme “Modernisation programme for Police, Border Guard, State Fire Service, Government Protection Bureau in the period 2007 – 2011”";;144;0;144;"0.0";"100.0";
"2-4-4-1";"2-4-4";"e";"Administer";"Ministry of the Interior and Administration";"42";116;0;116;"0.0";"100.0";
"2-4-4-2";"2-4-4";"e";"Administer";"Voivodes";"85";28;0;28;"0.0";"100.0";
"2-5";"2";"c";"Task 2.5";"Crisis management and civil defence";;45541;0;45541;"0.0";"100.0";
"2-5-1";"2-5";"d";"Subtask 2.5.1";"Coordination of the crisis management activities";;25237;0;25237;"0.0";"100.0";
"2-5-1-1";"2-5-1";"e";"Administer";"Ministry of the Environment";"41";42;0;42;"0.0";"100.0";
"2-5-1-2";"2-5-1";"e";"Administer";"Ministry of the Interior and Administration";"42";7052;0;7052;"0.0";"100.0";
"2-5-1-3";"2-5-1";"e";"Administer";"Voivodes";"85";18143;0;18143;"0.0";"100.0";
"2-5-2";"2-5";"d";"Subtask 2.5.2";"Prevention and removal of effects of natural calamities";;1457;0;1457;"0.0";"100.0";
"2-5-2-1";"2-5-2";"e";"Administer";"Ministry of the Interior and Administration";"42";1457;0;1457;"0.0";"100.0";
"2-5-2-2";"2-5-2";"e";"Administer";"Voivodes";"85";0;0;0;0;0;
"2-5-3";"2-5";"d";"Subtask 2.5.3";"Civil protection";;18847;0;18847;"0.0";"100.0";
"2-5-3-1";"2-5-3";"e";"Administer";"Ministry of Finance";"19";227;0;227;"0.0";"100.0";
"2-5-3-2";"2-5-3";"e";"Administer";"Ministry of the Environment";"41";41;0;41;"0.0";"100.0";
"2-5-3-3";"2-5-3";"e";"Administer";"Ministry of the Interior and Administration";"42";1986;0;1986;"0.0";"100.0";
"2-5-3-4";"2-5-3";"e";"Administer";"Voivodes";"85";16593;0;16593;"0.0";"100.0";
"2-6";"2";"c";"Task 2.6";"Protection of state borders i kontrola ruchu granicznego";;1427373;0;1427373;"0.0";"100.0";
"2-6-1";"2-6";"d";"Subtask 2.6.1";"Protection of state borders";;502964;0;502964;"0.0";"100.0";
"2-6-1-1";"2-6-1";"e";"Administer";"Ministry of the Interior and Administration";"42";502964;0;502964;"0.0";"100.0";
"2-6-2";"2-6";"d";"Subtask 2.6.2";"Border traffic control";;330499;0;330499;"0.0";"100.0";
"2-6-2-1";"2-6-2";"e";"Administer";"Ministry of the Interior and Administration";"42";330499;0;330499;"0.0";"100.0";
"2-6-3";"2-6";"d";"Subtask 2.6.3";"Preventing illegal migration";;293973;0;293973;"0.0";"100.0";
"2-6-3-1";"2-6-3";"e";"Administer";"Ministry of the Interior and Administration";"42";293973;0;293973;"0.0";"100.0";
"2-6-4";"2-6";"d";"Subtask 2.6.4";"Construction and maintenance of border crossings";;188418;0;188418;"0.0";"100.0";
"2-6-4-1";"2-6-4";"e";"Administer";"Ministry of the Interior and Administration";"42";299;0;299;"0.0";"100.0";
"2-6-4-2";"2-6-4";"e";"Administer";"Voivodes";"85";188119;0;188119;"0.0";"100.0";
"2-6-5";"2-6";"d";"Subtask 2.6.5";"Examination, prevention and detection of crimes and persecution of perpetrators, in the scope of the Border Guard competence";;98548;0;98548;"0.0";"100.0";
"2-6-5-1";"2-6-5";"e";"Administer";"Ministry of the Interior and Administration";"42";98548;0;98548;"0.0";"100.0";
"2-6-6";"2-6";"d";"Subtask 2.6.6";"Multi-year programme “Modernisation programme for Police, Border Guard, State Fire Service, Government Protection Bureau in the period 2007 – 2011”";;12971;0;12971;"0.0";"100.0";
"2-6-6-1";"2-6-6";"e";"Administer";"Ministry of the Interior and Administration";"42";12971;0;12971;"0.0";"100.0";
"2-7";"2";"c";"Task 2.7";"Informatization of operations and building information society";;62989;0;62989;"0.0";"100.0";
"2-7-1";"2-7";"d";"Subtask 2.7.1";"Maintenance of IT systems";;61198;0;61198;"0.0";"100.0";
"2-7-1-1";"2-7-1";"e";"Administer";"Ministry of the Interior and Administration";"42";61198;0;61198;"0.0";"100.0";
"2-7-2";"2-7";"d";"Subtask 2.7.2";"Construction and implementation of IT solutions";;1791;0;1791;"0.0";"100.0";
"2-7-2-1";"2-7-2";"e";"Administer";"Ministry of the Interior and Administration";"42";1791;0;1791;"0.0";"100.0";
"3";;"b";"Function 3";"EDUCATION, UPBRINGING AND CARE";;14379196;1016384;13362812;"7.07";"92.93";
"3-1";"3";"c";"Task 3.1";"Education and upbringing";;1929627;395308;1534319;"20.49";"79.51";
"3-1-1";"3-1";"d";"Subtask 3.1.1";"Management and supervision of the education and upbringing system";;145435;52454;92981;"36.07";"63.93";
"3-1-1-1";"3-1-1";"e";"Administer";"Voivodes";"85";9134;0;9134;"0.0";"100.0";
"3-1-1-2";"3-1-1";"e";"Administer";"Ministry of National Education";"30";136301;52454;83847;"38.48";"61.52";
"3-1-2";"3-1";"d";"Subtask 3.1.2";"General, professional and life-long education";;1045109;66980;978129;"6.41";"93.59";
"3-1-2-1";"3-1-2";"e";"Administer";"Ministry of the Interior and Administration";"42";27374;0;27374;"0.0";"100.0";
"3-1-2-2";"3-1-2";"e";"Administer";"Ministry of Health";"46";41745;34386;7359;"82.37";"17.63";
"3-1-2-3";"3-1-2";"e";"Administer";"Voivodes";"85";7369;0;7369;"0.0";"100.0";
"3-1-2-4";"3-1-2";"e";"Administer";"Ministry of Culture and National Heritage";"24";605793;0;605793;"0.0";"100.0";
"3-1-2-5";"3-1-2";"e";"Administer";"Ministry of National Education";"30";16938;12877;4061;"76.02";"23.98";
"3-1-2-6";"3-1-2";"e";"Administer";"Ministry of Labour and Social Policy";"31";88067;0;88067;"0.0";"100.0";
"3-1-2-7";"3-1-2";"e";"Administer";"Ministry of Agriculture and Rural Development";"32";176120;16853;159267;"9.57";"90.43";
"3-1-2-8";"3-1-2";"e";"Administer";"Ministry of Regional Development";"34";3201;2864;337;"89.47";"10.53";
"3-1-2-9";"3-1-2";"e";"Administer";"Ministry of Justice";"37";40310;0;40310;"0.0";"100.0";
"3-1-2-10";"3-1-2";"e";"Administer";"Ministry of the Environment";"41";38192;0;38192;"0.0";"100.0";
"3-1-3";"3-1";"d";"Subtask 3.1.3";"Teacher education and development and development of teaching professional pragmatics";;174668;106433;68235;"60.93";"39.07";
"3-1-3-1";"3-1-3";"e";"Administer";"Voivodes";"85";15316;0;15316;"0.0";"100.0";
"3-1-3-2";"3-1-3";"e";"Administer";"Ministry of Culture and National Heritage";"24";5785;0;5785;"0.0";"100.0";
"3-1-3-3";"3-1-3";"e";"Administer";"Ministry of National Education";"30";151666;106433;45233;"70.18";"29.82";
"3-1-3-4";"3-1-3";"e";"Administer";"Ministry of Agriculture and Rural Development";"32";1551;0;1551;"0.0";"100.0";
"3-1-3-5";"3-1-3";"e";"Administer";"Ministry of Agriculture and Rural Development";"33";14;0;14;"0.0";"100.0";
"3-1-3-6";"3-1-3";"e";"Administer";"Ministry of the Environment";"41";336;0;336;"0.0";"100.0";
"3-1-4";"3-1";"d";"Subtask 3.1.4";"External examinations";;241776;40135;201641;"16.6";"83.4";
"3-1-4-1";"3-1-4";"e";"Administer";"Ministry of Health";"46";4530;0;4530;"0.0";"100.0";
"3-1-4-2";"3-1-4";"e";"Administer";"Voivodes";"85";1748;0;1748;"0.0";"100.0";
"3-1-4-3";"3-1-4";"e";"Administer";"Ministry of National Education";"30";235498;40135;195363;"17.04";"82.96";
"3-1-5";"3-1";"d";"Subtask 3.1.5";"Supporting gifted students and children and young people with special educational needs";;60442;42100;18342;"69.65";"30.35";
"3-1-5-1";"3-1-5";"e";"Administer";"Voivodes";"85";7782;0;7782;"0.0";"100.0";
"3-1-5-2";"3-1-5";"e";"Administer";"Ministry of National Education";"30";52660;42100;10560;"79.95";"20.05";
"3-1-6";"3-1";"d";"Subtask 3.1.6";"After school and out-of-school learning";;117859;87206;30653;"73.99";"26.01";
"3-1-6-1";"3-1-6";"e";"Administer";"Voivodes";"85";15451;0;15451;"0.0";"100.0";
"3-1-6-2";"3-1-6";"e";"Administer";"Ministry of National Education";"30";101788;87206;14582;"85.67";"14.33";
"3-1-6-3";"3-1-6";"e";"Administer";"Ministry of Agriculture and Rural Development";"32";620;0;620;"0.0";"100.0";
"3-1-7";"3-1";"d";"Subtask 3.1.7";"Support for access to textbooks";;5366;0;5366;"0.0";"100.0";
"3-1-7-1";"3-1-7";"e";"Administer";"Voivodes";"85";138;0;138;"0.0";"100.0";
"3-1-7-2";"3-1-7";"e";"Administer";"Ministry of National Education";"30";5228;0;5228;"0.0";"100.0";
"3-1-8";"3-1";"d";"Subtask 3.1.8";"Support for educational-upbringing activity";;65774;0;65774;"0.0";"100.0";
"3-1-8-1";"3-1-8";"e";"Administer";"Voivodes";"85";2271;0;2271;"0.0";"100.0";
"3-1-8-2";"3-1-8";"e";"Administer";"Ministry of Culture and National Heritage";"24";25183;0;25183;"0.0";"100.0";
"3-1-8-3";"3-1-8";"e";"Administer";"Ministry of National Education";"30";577;0;577;"0.0";"100.0";
"3-1-8-4";"3-1-8";"e";"Administer";"Ministry of Labour and Social Policy";"31";37743;0;37743;"0.0";"100.0";
"3-1-9";"3-1";"d";"Subtask 3.1.9";"Condition educational, research and promotional activity by the Institute of National Remembrance";;55198;0;55198;"0.0";"100.0";
"3-1-9-1";"3-1-9";"e";"Administer";"The Institute of National Remembrance – Commission for the Persecution of Crimes against the Polish Nation";"13";55198;0;55198;"0.0";"100.0";
"3-1-10";"3-1";"d";"Subtask 3.1.10";"Infrastructure of education";;18000;0;18000;"0.0";"100.0";
"3-1-10-1";"3-1-10";"e";"Administer";"Voivodes";"85";920;0;920;"0.0";"100.0";
"3-1-10-2";"3-1-10";"e";"Administer";"Ministry of Culture and National Heritage";"24";11740;0;11740;"0.0";"100.0";
"3-1-10-3";"3-1-10";"e";"Administer";"Ministry of the Environment";"41";5340;0;5340;"0.0";"100.0";
"3-2";"3";"c";"Task 3.2";"Higher education";;12442732;619691;11823041;"4.98";"95.02";
"3-2-1";"3-2";"d";"Subtask 3.2.1";"Management of the system of higher education";;28892;0;28892;"0.0";"100.0";
"3-2-1-1";"3-2-1";"e";"Administer";"Ministry of Science and Higher Education";"38";28892;0;28892;"0.0";"100.0";
"3-2-2";"3-2";"d";"Subtask 3.2.2";"Higher academic education";;9848166;355685;9492481;"3.61";"96.39";
"3-2-2-1";"3-2-2";"e";"Administer";"Ministry of Infrastructure";"21";81296;0;81296;"0.0";"100.0";
"3-2-2-2";"3-2-2";"e";"Administer";"Ministry of Culture and National Heritage";"24";443982;0;443982;"0.0";"100.0";
"3-2-2-3";"3-2-2";"e";"Administer";"Ministry of National Defence";"29";272694;0;272694;"0.0";"100.0";
"3-2-2-4";"3-2-2";"e";"Administer";"Ministry of Science and Higher Education";"38";7818650;355685;7462965;"4.55";"95.45";
"3-2-2-5";"3-2-2";"e";"Administer";"Ministry of Infrastructure";"39";5473;0;5473;"0.0";"100.0";
